date,id,frequency,value
2018-11-13,my data,day,-0.153405259788546
2018-11-14,my data,day,-1.20308279218789
2018-11-15,my data,day,-1.03872735698128
2018-11-16,my data,day,-0.491905967692071
2018-11-17,my data,day,-0.673025083584903
2018-11-18,my data,day,1.2395626877099
2018-11-19,my data,day,1.544958057136
2018-11-20,my data,day,1.20155701873052
2018-11-21,my data,day,0.213539106686722
2018-11-22,my data,day,-0.341045053651689
2018-11-23,my data,day,0.529536886435562
2018-11-24,my data,day,0.385118507763199
2018-11-25,my data,day,-0.153405259788546
2018-11-26,my data,day,0.529536886435562
2018-11-27,my data,day,0.213539106686722
2018-11-28,my data,day,-0.0468927740221399
2018-11-29,my data,day,-0.211744295391769
2018-11-30,my data,day,-0.491905967692071
2018-12-01,my data,day,0.0926026188683473
2018-12-02,my data,day,0.0926026188683473
2018-12-03,my data,day,0.474470773848331
2018-12-04,my data,day,0.529536886435562
2018-12-05,my data,day,0.0926026188683473
2018-12-06,my data,day,0.385118507763199
2018-12-07,my data,day,-0.413339278219764
2018-12-08,my data,day,-1.03872735698128
2018-12-09,my data,day,-0.274092645150472
2018-12-10,my data,day,0.630647639213551
2018-12-11,my data,day,0.44564492143615
2018-12-12,my data,day,0.00202119853361138
2018-12-13,my data,day,0.320301038262782
2018-12-14,my data,day,-0.0468927740221399
2018-12-15,my data,day,0.134723520045087
2018-12-16,my data,day,0.174982845011574
2018-12-17,my data,day,0.286082434164443
2018-12-18,my data,day,-0.0468927740221399
2018-12-19,my data,day,0.250531396735008
2018-12-20,my data,day,0.353284151580376
2018-12-21,my data,day,0.606394312507516
2018-12-22,my data,day,-0.153405259788546
2018-12-23,my data,day,-0.899728596334722
2018-12-24,my data,day,0.0484384143563325
2018-12-25,my data,day,-0.341045053651689
2018-12-26,my data,day,-0.0468927740221399
2018-12-27,my data,day,0.0484384143563325
2018-12-28,my data,day,0.174982845011574
2018-12-29,my data,day,0.0484384143563325
2018-12-30,my data,day,0.0484384143563325
2018-12-31,my data,day,0.250531396735008
2019-01-01,my data,day,0.606394312507516
2019-01-02,my data,day,0.581483323729896
2019-01-03,my data,day,1.18853795545323
2019-01-04,my data,day,0.89873871274171
2019-01-05,my data,day,0.353284151580376
2019-01-06,my data,day,0.606394312507516
2019-01-07,my data,day,0.933862622751695
2019-01-08,my data,day,1.40947888481206
2019-01-09,my data,day,0.96770415330073
2019-01-10,my data,day,0.250531396735008
2019-01-11,my data,day,0.250531396735008
2019-01-12,my data,day,-0.577942381687524
2019-01-13,my data,day,-0.211744295391769
2019-01-14,my data,day,-0.0468927740221399
2019-01-15,my data,day,0.00202119853361138
2019-01-16,my data,day,-0.0468927740221399
2019-01-17,my data,day,-0.0985890757244916
2019-01-18,my data,day,0.174982845011574
2019-01-19,my data,day,-0.0985890757244916
2019-01-20,my data,day,0.385118507763199
2019-01-21,my data,day,0.385118507763199
2019-01-22,my data,day,0.0484384143563325
2019-01-23,my data,day,0.474470773848331
2019-01-24,my data,day,0.00202119853361138
2019-01-25,my data,day,-0.0468927740221399
2019-01-26,my data,day,-0.77928928781907
2019-01-27,my data,day,-0.77928928781907
2019-01-28,my data,day,-1.03872735698128
2019-01-29,my data,day,-1.20308279218789
2019-01-30,my data,day,-0.673025083584903
2019-01-31,my data,day,-0.413339278219764
2019-02-01,my data,day,-0.899728596334722
2019-02-02,my data,day,-1.03872735698128
2019-02-03,my data,day,-0.77928928781907
2019-02-04,my data,day,-0.0468927740221399
2019-02-05,my data,day,0.630647639213551
2019-02-06,my data,day,0.7217303684827
2019-02-07,my data,day,0.743159736754221
2019-02-08,my data,day,0.250531396735008
2019-02-09,my data,day,-0.0468927740221399
2019-02-10,my data,day,0.7217303684827
2019-02-11,my data,day,0.76410223620256
2019-02-12,my data,day,0.76410223620256
2019-02-13,my data,day,0.474470773848331
2019-02-14,my data,day,0.474470773848331
2019-02-15,my data,day,0.415882016524097
2019-02-16,my data,day,0.96770415330073
2019-02-17,my data,day,0.581483323729896
2019-02-18,my data,day,0.916467103283282
2019-02-19,my data,day,1.70173647735249
2019-02-20,my data,day,0.581483323729896
2019-02-21,my data,day,1.03189718732291
2019-02-22,my data,day,-0.0985890757244916
2019-02-23,my data,day,1.57112602691789
2019-02-24,my data,day,0.804612736121312
2019-02-25,my data,day,1.2395626877099
2019-02-26,my data,day,0.804612736121312
2019-02-27,my data,day,2.3251938187342
2019-02-28,my data,day,0.699790661131302
2019-03-01,my data,day,0.843420381427376
2019-03-02,my data,day,0.286082434164443
2019-03-03,my data,day,0.320301038262782
2019-03-04,my data,day,0.606394312507516
2019-03-05,my data,day,0.474470773848331
2019-03-06,my data,day,0.0926026188683473
2019-03-07,my data,day,0.0926026188683473
2019-03-08,my data,day,0.00202119853361138
2019-03-09,my data,day,-0.413339278219764
2019-03-10,my data,day,-0.341045053651689
2019-03-11,my data,day,0.474470773848331
2019-03-12,my data,day,0.76410223620256
2019-03-13,my data,day,2.22685516564995
2019-03-14,my data,day,0.0484384143563325
2019-03-15,my data,day,0.0484384143563325
2019-03-16,my data,day,0.00202119853361138
2019-03-17,my data,day,0.00202119853361138
2019-03-18,my data,day,-0.153405259788546
2019-03-19,my data,day,0.0484384143563325
2019-03-20,my data,day,-0.274092645150472
2019-03-21,my data,day,-0.211744295391769
2019-03-22,my data,day,-0.0985890757244916
2019-03-23,my data,day,0.474470773848331
2019-03-24,my data,day,0.474470773848331
2019-03-25,my data,day,1.68634836957786
2019-03-26,my data,day,0.213539106686722
2019-03-27,my data,day,0.320301038262782
2019-03-28,my data,day,0.00202119853361138
2019-03-29,my data,day,0.0926026188683473
2019-03-30,my data,day,0.0484384143563325
2019-03-31,my data,day,0.250531396735008
2019-04-01,my data,day,0.0926026188683473
2019-04-02,my data,day,0.213539106686722
2019-04-03,my data,day,-0.153405259788546
2019-04-04,my data,day,0.353284151580376
2019-04-05,my data,day,-0.211744295391769
2019-04-06,my data,day,-0.274092645150472
2019-04-07,my data,day,-0.0468927740221399
2019-04-08,my data,day,-0.0468927740221399
2019-04-09,my data,day,0.134723520045087
2019-04-10,my data,day,2.13779377122896
2019-04-11,my data,day,0.824220306064121
2019-04-12,my data,day,0.502417256890911
2019-04-13,my data,day,0.286082434164443
2019-04-14,my data,day,0.250531396735008
2019-04-15,my data,day,0.502417256890911
2019-04-16,my data,day,1.26407034811677
2019-04-17,my data,day,0.134723520045087
2019-04-18,my data,day,0.415882016524097
2019-04-19,my data,day,0.213539106686722
2019-04-20,my data,day,-0.673025083584903
2019-04-21,my data,day,-0.341045053651689
2019-04-22,my data,day,-0.491905967692071
2019-04-23,my data,day,-0.0985890757244916
2019-04-24,my data,day,2.24464969807462
2019-04-25,my data,day,-0.274092645150472
2019-04-26,my data,day,-0.274092645150472
2019-04-27,my data,day,-0.341045053651689
2019-04-28,my data,day,-0.491905967692071
2019-04-29,my data,day,-1.40418223395837
2019-04-30,my data,day,0.0484384143563325
2019-05-01,my data,day,0.0484384143563325
2019-05-02,my data,day,-0.491905967692071
2019-05-03,my data,day,-0.413339278219764
2019-05-04,my data,day,-1.03872735698128
2019-05-05,my data,day,-0.899728596334722
2019-05-06,my data,day,0.134723520045087
2019-05-07,my data,day,-0.0985890757244916
2019-05-08,my data,day,2.52163023369646
2019-05-09,my data,day,-0.413339278219764
2019-05-10,my data,day,0.415882016524097
2019-05-11,my data,day,-0.577942381687524
2019-05-12,my data,day,0.174982845011574
2019-05-13,my data,day,-0.577942381687524
2019-05-14,my data,day,0.213539106686722
2019-05-15,my data,day,0.0484384143563325
2019-05-16,my data,day,0.415882016524097
2019-05-17,my data,day,0.0926026188683473
2019-05-18,my data,day,-0.211744295391769
2019-05-19,my data,day,0.134723520045087
2019-05-20,my data,day,0.353284151580376
2019-05-21,my data,day,-0.0985890757244916
2019-05-22,my data,day,2.13779377122896
2019-05-23,my data,day,0.213539106686722
2019-05-24,my data,day,0.502417256890911
2019-05-25,my data,day,-0.77928928781907
2019-05-26,my data,day,-0.577942381687524
2019-05-27,my data,day,-0.899728596334722
2019-05-28,my data,day,-0.0985890757244916
2019-05-29,my data,day,0.250531396735008
2019-05-30,my data,day,-0.0985890757244916
2019-05-31,my data,day,0.0484384143563325
2019-06-01,my data,day,-0.77928928781907
2019-06-02,my data,day,0.213539106686722
2019-06-03,my data,day,0.529536886435562
2019-06-04,my data,day,0.174982845011574
2019-06-05,my data,day,1.49846425514871
2019-06-06,my data,day,1.17533524876585
2019-06-07,my data,day,0.286082434164443
2019-06-08,my data,day,0.353284151580376
2019-06-09,my data,day,0.0926026188683473
2019-06-10,my data,day,0.174982845011574
2019-06-11,my data,day,0.630647639213551
2019-06-12,my data,day,0.44564492143615
2019-06-13,my data,day,0.0484384143563325
2019-06-14,my data,day,0.134723520045087
2019-06-15,my data,day,-0.153405259788546
2019-06-16,my data,day,-0.577942381687524
2019-06-17,my data,day,0.286082434164443
2019-06-18,my data,day,0.00202119853361138
2019-06-19,my data,day,1.51715565383975
2019-06-20,my data,day,0.0484384143563325
2019-06-21,my data,day,0.286082434164443
2019-06-22,my data,day,-0.77928928781907
2019-06-23,my data,day,-0.413339278219764
2019-06-24,my data,day,0.0484384143563325
2019-06-25,my data,day,-0.341045053651689
2019-06-26,my data,day,0.699790661131302
2019-06-27,my data,day,0.784579754546674
2019-06-28,my data,day,0.44564492143615
2019-06-29,my data,day,-0.274092645150472
2019-06-30,my data,day,0.134723520045087
2019-07-01,my data,day,0.174982845011574
2019-07-02,my data,day,2.74961713458627
2019-07-03,my data,day,0.699790661131302
2019-07-04,my data,day,0.502417256890911
2019-07-05,my data,day,0.581483323729896
2019-07-06,my data,day,0.0484384143563325
2019-07-07,my data,day,0.174982845011574
2019-07-08,my data,day,0.581483323729896
2019-07-09,my data,day,0.804612736121312
2019-07-10,my data,day,1.9317282767876
2019-07-11,my data,day,-0.0985890757244916
2019-07-12,my data,day,-0.77928928781907
2019-07-13,my data,day,-0.673025083584903
2019-07-14,my data,day,-0.341045053651689
2019-07-15,my data,day,-0.274092645150472
2019-07-16,my data,day,0.0926026188683473
2019-07-17,my data,day,2.05616102495595
2019-07-18,my data,day,0.743159736754221
2019-07-19,my data,day,0.320301038262782
2019-07-20,my data,day,-0.153405259788546
2019-07-21,my data,day,-0.211744295391769
2019-07-22,my data,day,1.01625984030442
2019-07-23,my data,day,1.03189718732291
2019-07-24,my data,day,0.555877610420909
2019-07-25,my data,day,0.134723520045087
2019-07-26,my data,day,0.529536886435562
2019-07-27,my data,day,0.0484384143563325
2019-07-28,my data,day,0.0484384143563325
2019-07-29,my data,day,0.0926026188683473
2019-07-30,my data,day,1.97880570329881
2019-07-31,my data,day,0.385118507763199
2019-08-01,my data,day,0.0926026188683473
2019-08-02,my data,day,-0.274092645150472
2019-08-03,my data,day,-0.153405259788546
2019-08-04,my data,day,-0.341045053651689
2019-08-05,my data,day,0.213539106686722
2019-08-06,my data,day,0.0926026188683473
2019-08-07,my data,day,0.743159736754221
2019-08-08,my data,day,0.880664264055208
2019-08-09,my data,day,0.555877610420909
2019-08-10,my data,day,-0.0468927740221399
2019-08-11,my data,day,-0.274092645150472
2019-08-12,my data,day,0.0926026188683473
2019-08-13,my data,day,2.14268199412651
2019-08-14,my data,day,0.00202119853361138
2019-08-15,my data,day,2.49422305941218
2019-08-16,my data,day,0.89873871274171
2019-08-17,my data,day,0.286082434164443
2019-08-18,my data,day,0.134723520045087
2019-08-19,my data,day,1.09194457616552
2019-08-20,my data,day,0.555877610420909
2019-08-21,my data,day,0.320301038262782
2019-08-22,my data,day,0.0484384143563325
2019-08-23,my data,day,0.00202119853361138
2019-08-24,my data,day,0.0926026188683473
2019-08-25,my data,day,-0.211744295391769
2019-08-26,my data,day,0.134723520045087
2019-08-27,my data,day,0.474470773848331
2019-08-28,my data,day,0.353284151580376
2019-08-29,my data,day,2.59040891308609
2019-08-30,my data,day,0.286082434164443
2019-08-31,my data,day,-0.274092645150472
2019-09-01,my data,day,-0.0468927740221399
2019-09-02,my data,day,0.0926026188683473
2019-09-03,my data,day,0.286082434164443
2019-09-04,my data,day,0.286082434164443
2019-09-05,my data,day,0.00202119853361138
2019-09-06,my data,day,0.529536886435562
2019-09-07,my data,day,0.00202119853361138
2019-09-08,my data,day,0.134723520045087
2019-09-09,my data,day,0.174982845011574
2019-09-10,my data,day,0.44564492143615
2019-09-11,my data,day,2.53507462072097
2019-09-12,my data,day,0.320301038262782
2019-09-13,my data,day,0.824220306064121
